Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Werewolf Therapeutics,2021-04-29,$16.00,HOWL,IPO,"Jeffries, SVB Leerink, Evercore ISI Jeffries"
Aveanna Healthcare Holdings,2021-04-28,$12.00,AVAH,IPO,"Barclays, JP Morgan, BMO Capital Markets, Credit Suisse Credit Suisse"
Endeavor Group Holdings,2021-04-28,$24.00,EDR,IPO,"Morgan Stanley, Goldman Sachs, JP Morgan, Deutsche Bank Credit Suisse"
PQ Group Holdings,2021-04-28,$14.00,PQG,ADD-ON,"Citigroup, Deutsche Bank, Credit Suisse Credit Suisse"
Privia Health Group,2021-04-28,$23.00,PRVA,IPO,"Goldman Sachs, JP Morgan Credit Suisse"
FTC Solar,2021-04-27,$13.00,FTCI,IPO,"Barclays, BofA Merrill Lynch, Credit Suisse, UBS Credit Suisse"
Impel NeuroPharma,2021-04-22,$15.00,IMPL,IPO,"Cowen and Company, Guggenheim Securities Cowen and Company, Truist Securities"
KnowBe4,2021-04-21,$16.00,KNBE,IPO,"Morgan Stanley, Goldman Sachs, BofA Merrill Lynch, KKR KKR, Truist Securities"
SkyWater Technology,2021-04-20,$14.00,SKYT,IPO,"Jeffries, Cowen and Company Jeffries"
Uipath,2021-04-20,$56.00,PATH,IPO,"Morgan Stanley, JP Morgan Credit Suisse, Truist Securities"
TuSimple,2021-04-15,$40.00,TSP,IPO,"Morgan Stanley, Citigroup, JP Morgan Credit Suisse"
Applovin,2021-04-14,$80.00,APP,IPO,"Morgan Stanley, JP Morgan, KKR, BofA Merrill Lynch, Citigroup, Credit Suisse, UBS Credit Suisse, KKR, Truist Securities"
Reneo Pharmaceuticals,2021-04-08,$15.00,RPHM,IPO,"Jeffries, SVB Leerink, Piper Sandler Jeffries"
NetSTREIT,2021-04-07,$18.65,NTST,ADD-ON,"Wells Fargo, BofA Merrill Lynch, Jeffries, Stifel Truist Securities"
Humanigen,2021-03-30,$18.50,HGEN,ADD-ON,"Jeffries, Credit Suisse, Cantor Fitzgerald Credit Suisse"
Ikena Oncology,2021-03-25,$16.00,IKNA,IPO,"Jeffries, Cowen and Company, Credit Suisse, William Blair Credit Suisse"
Zhihu,2021-03-25,$9.50,ZH,IPO,"Credit Suisse, Goldman Sachs, JP Morgan Credit Suisse"
Diversey Holdings,2021-03-24,$15.00,DSEY,IPO,"Citigroup, Morgan Stanley, Barclays, JP Morgan Credit Suisse"
Array Technologies,2021-03-18,$28.00,ARRY,ADD-ON,"Goldman Sachs, JP Morgan, Guggenheim Securities Credit Suisse"
MediaAlpha,2021-03-18,$46.00,MAX,ADD-ON,"JP Morgan, Citigroup, Credit Suisse, RBC Capital Markets Credit Suisse"
Duckhorn Portfolio,2021-03-17,$15.00,NAPA,IPO,"JP Morgan, Credit Suisse Credit Suisse"
Paya Holdings,2021-03-17,$12.25,PAYA,ADD-ON,"Morgan Stanley, Credit Suisse Credit Suisse"
Sotera Health Company,2021-03-17,$27.00,SHC,ADD-ON,"JP Morgan, Credit Suisse, Goldman Sachs, Jeffries Credit Suisse"
Vine Energy,2021-03-17,$14.00,VEI,IPO,"Citigroup, Credit Suisse, Morgan Stanley Credit Suisse"
Hayward Holdings,2021-03-11,$17.00,HAYW,IPO,"BofA Merrill Lynch, Goldman Sachs, Nomura Credit Suisse"
Joann,2021-03-11,$12.00,JOAN,IPO,"BofA Merrill Lynch, Credit Suisse Credit Suisse"
Prometheus Biosciences,2021-03-11,$19.00,RXDX,IPO,"SVB Leerink, Credit Suisse, Stifel, Guggenheim Securities Credit Suisse"
Cactus,2021-03-09,$31.50,WHD,ADD-ON,"Citigroup, Credit Suisse Credit Suisse"
SelectQuote,2021-03-03,$27.50,SLQT,ADD-ON,"Credit Suisse, Morgan Stanley Credit Suisse"
Oscar Health,2021-03-02,$39.00,OSCR,IPO,"Goldman Sachs, Morgan Stanley, Allen & Company LLC, Wells Fargo Credit Suisse"
